algorithm,scenario_index,nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize,best_solution,mean_solution,worst_solution,std_solution,mean_time
SHADE,215,100,1,7500,3600,900,10,0.9975,0.993,0.985,0.0043011626335213,3604.3293541908265
SHADE,216,100,1,7500,3600,900,20,0.995,0.9935,0.9925,0.0012247448713915,3605.3151995658873
SHADE,217,100,1,7500,3600,900,30,0.9925,0.9895,0.985,0.0029154759474226,3605.475738620758
SHADE,218,100,1,7500,3600,900,40,0.9875,0.9845,0.9775,0.0036742346141747,3615.538915586472
SHADE,219,100,1,7500,3600,900,50,0.99,0.9815,0.9775,0.0043588989435406,3624.9956399440766
SHADE,220,200,1,7500,3600,60,10,0.8200524119188586,0.8013144333271656,0.7803956655731186,0.0154486890873134,23758.29444885254
SHADE,221,200,1,7500,3600,60,20,0.7947104512830597,0.7776082136278679,0.7629377431906614,0.010924609918044,22835.048457098008
SHADE,222,200,1,7500,3600,60,30,0.806146572104019,0.776669891089429,0.7456521739130435,0.0194813361128963,22248.31838335991
SHADE,223,200,1,7500,3600,60,40,0.7828140816556068,0.7583334588165835,0.7432056494757115,0.0146591716965389,21881.511717557907
SHADE,224,200,1,7500,3600,60,50,0.7493464052287582,0.7309443533231084,0.7168469860896445,0.011992988281177,21014.170075178143
SHADE,225,200,1,7500,3600,300,10,0.8983333333333333,0.8881666666666668,0.8825,0.0054556291011109,7685.922234678268
SHADE,226,200,1,7500,3600,300,20,0.9,0.87375,0.86375,0.0134500103263074,7684.499240398407
SHADE,227,200,1,7500,3600,300,30,0.8741666666666666,0.8616666666666666,0.8445833333333334,0.0110554159678513,7678.84484257698
SHADE,228,200,1,7500,3600,300,40,0.8670833333333333,0.8513333333333334,0.8391666666666666,0.0099631264615525,7664.158874082565
SHADE,229,200,1,7500,3600,300,50,0.88375,0.8568333333333333,0.8445833333333334,0.0145645116636295,7664.562536287308
SHADE,230,200,1,7500,3600,600,10,0.93,0.9213333333333332,0.9116666666666666,0.0063813965730255,5442.519958972931
SHADE,231,200,1,7500,3600,600,20,0.92,0.9076666666666666,0.8966666666666666,0.0082225975890293,5441.521012544632
